Teste,k,n_features,Acurácia SelectKBest,Acurácia RFE,Acurácia Random Forest,Melhor Modelo,Melhor Acurácia
1,5,5,0.9522727272727273,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
2,5,10,0.9522727272727273,0.9545454545454546,0.9568181818181818,Random Forest,0.9568181818181818
3,5,15,0.9522727272727273,0.9477272727272728,0.95,SelectKBest,0.9522727272727273
4,5,20,0.9522727272727273,0.9522727272727273,0.9522727272727273,SelectKBest,0.9522727272727273
5,5,25,0.9522727272727273,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
6,10,5,0.9522727272727273,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
7,10,10,0.9522727272727273,0.9545454545454546,0.9568181818181818,Random Forest,0.9568181818181818
8,10,15,0.9522727272727273,0.9477272727272728,0.95,SelectKBest,0.9522727272727273
9,10,20,0.9522727272727273,0.9522727272727273,0.9522727272727273,SelectKBest,0.9522727272727273
10,10,25,0.9522727272727273,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
11,15,5,0.9522727272727273,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
12,15,10,0.9522727272727273,0.9545454545454546,0.9568181818181818,Random Forest,0.9568181818181818
13,15,15,0.9522727272727273,0.9477272727272728,0.95,SelectKBest,0.9522727272727273
14,15,20,0.9522727272727273,0.9522727272727273,0.9522727272727273,SelectKBest,0.9522727272727273
15,15,25,0.9522727272727273,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
16,20,5,0.95,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
17,20,10,0.95,0.9545454545454546,0.9568181818181818,Random Forest,0.9568181818181818
18,20,15,0.95,0.9477272727272728,0.95,SelectKBest,0.95
19,20,20,0.95,0.9522727272727273,0.9522727272727273,RFE,0.9522727272727273
20,20,25,0.95,0.9522727272727273,0.9545454545454546,Random Forest,0.9545454545454546
21,25,5,0.9545454545454546,0.9522727272727273,0.9545454545454546,SelectKBest,0.9545454545454546
22,25,10,0.9545454545454546,0.9545454545454546,0.9568181818181818,Random Forest,0.9568181818181818
23,25,15,0.9545454545454546,0.9477272727272728,0.95,SelectKBest,0.9545454545454546
24,25,20,0.9545454545454546,0.9522727272727273,0.9522727272727273,SelectKBest,0.9545454545454546
25,25,25,0.9545454545454546,0.9522727272727273,0.9545454545454546,SelectKBest,0.9545454545454546
