Teste,k,n_features,Acurácia SelectKBest SMOTE,Acurácia RFE SMOTE,Acurácia Random Forest SMOTE,Acurácia SelectKBest Undersampling,Acurácia RFE Undersampling,Acurácia Random Forest Undersampling
1,5,5,0.9386363636363636,0.9386363636363636,0.9386363636363636,0.9386363636363636,0.9386363636363636,0.9386363636363636
2,5,10,0.9386363636363636,0.9363636363636364,0.9386363636363636,0.9386363636363636,0.9363636363636364,0.9386363636363636
3,5,15,0.9386363636363636,0.95,0.9454545454545454,0.9386363636363636,0.95,0.9454545454545454
4,5,20,0.9386363636363636,0.9477272727272728,0.9477272727272728,0.9386363636363636,0.9477272727272728,0.9477272727272728
5,5,25,0.9386363636363636,0.9409090909090909,0.9431818181818182,0.9386363636363636,0.9409090909090909,0.9431818181818182
6,10,5,0.9477272727272728,0.9386363636363636,0.9386363636363636,0.9477272727272728,0.9386363636363636,0.9386363636363636
7,10,10,0.9477272727272728,0.9363636363636364,0.9386363636363636,0.9477272727272728,0.9363636363636364,0.9386363636363636
8,10,15,0.9477272727272728,0.95,0.9454545454545454,0.9477272727272728,0.95,0.9454545454545454
9,10,20,0.9477272727272728,0.9477272727272728,0.9477272727272728,0.9477272727272728,0.9477272727272728,0.9477272727272728
10,10,25,0.9477272727272728,0.9409090909090909,0.9431818181818182,0.9477272727272728,0.9409090909090909,0.9431818181818182
11,15,5,0.9545454545454546,0.9386363636363636,0.9386363636363636,0.9545454545454546,0.9386363636363636,0.9386363636363636
12,15,10,0.9545454545454546,0.9363636363636364,0.9386363636363636,0.9545454545454546,0.9363636363636364,0.9386363636363636
13,15,15,0.9545454545454546,0.95,0.9454545454545454,0.9545454545454546,0.95,0.9454545454545454
14,15,20,0.9545454545454546,0.9477272727272728,0.9477272727272728,0.9545454545454546,0.9477272727272728,0.9477272727272728
15,15,25,0.9545454545454546,0.9409090909090909,0.9431818181818182,0.9545454545454546,0.9409090909090909,0.9431818181818182
16,20,5,0.95,0.9386363636363636,0.9386363636363636,0.95,0.9386363636363636,0.9386363636363636
17,20,10,0.95,0.9363636363636364,0.9386363636363636,0.95,0.9363636363636364,0.9386363636363636
18,20,15,0.95,0.95,0.9454545454545454,0.95,0.95,0.9454545454545454
19,20,20,0.95,0.9477272727272728,0.9477272727272728,0.95,0.9477272727272728,0.9477272727272728
20,20,25,0.95,0.9409090909090909,0.9431818181818182,0.95,0.9409090909090909,0.9431818181818182
21,25,5,0.9431818181818182,0.9386363636363636,0.9386363636363636,0.9431818181818182,0.9386363636363636,0.9386363636363636
22,25,10,0.9431818181818182,0.9363636363636364,0.9386363636363636,0.9431818181818182,0.9363636363636364,0.9386363636363636
23,25,15,0.9431818181818182,0.95,0.9454545454545454,0.9431818181818182,0.95,0.9454545454545454
24,25,20,0.9431818181818182,0.9477272727272728,0.9477272727272728,0.9431818181818182,0.9477272727272728,0.9477272727272728
25,25,25,0.9431818181818182,0.9409090909090909,0.9431818181818182,0.9431818181818182,0.9409090909090909,0.9431818181818182
